repo_id,language,bytes
1231148626,C,3032573
1231148626,Objective-C,695086
1231148626,Cuda,475583
1231148626,Metal,329571
1231148626,Python,169982
1231148626,Makefile,9165
1231148626,C++,6173
1231148626,Shell,5702
1230751102,Rust,1041139
1230751102,JavaScript,341150
1230751102,TypeScript,172939
1230751102,CSS,38134
1230751102,NSIS,3476
1230751102,Shell,3220
1230751102,HTML,309
1235834494,C++,46169669
1235834494,C,5548348
1235834494,JavaScript,2221016
1235834494,HTML,955005
1235834494,CMake,405388
1235834494,Shell,121111
1235834494,Python,110068
1235834494,CSS,99093
1235834494,GLSL,68275
1235834494,Objective-C++,49342
1235834494,Roff,42517
1235834494,Less,32442
1235834494,SCSS,32276
1235834494,PowerShell,28145
1235834494,QMake,25187
1235834494,Makefile,18781
1235834494,Batchfile,16922
1235834494,TypeScript,14582
1235834494,Meson,14283
1235834494,Svelte,13590
1235834494,Dockerfile,2698
1235834494,Objective-C,1170
1235834494,G-code,803
1235834494,BitBake,716
1235403234,HTML,1082818
1235403234,TypeScript,676085
1235403234,CSS,6049
1235403234,JavaScript,94
1226286910,Swift,1062647
1226286910,Nunjucks,220872
1226286910,C,133209
1226286910,Shell,43831
1226286910,HTML,8739
1226286910,JavaScript,6288
1226286910,CSS,3099
1232237440,C,67803
1239996076,C,2803418
1239996076,JavaScript,674705
1239996076,TypeScript,140988
1239996076,Shell,88309
1239996076,C++,81510
1239996076,Makefile,1440
1233290067,Zig,739400
1233290067,Objective-C,89583
1233290067,Objective-C++,87735
1233290067,C,72251
1233290067,C++,42308
1233290067,JavaScript,16411
1233290067,Shell,5029
1244911834,Go,425139
1237031497,TypeScript,574845
1237031497,CSS,67177
1237031497,JavaScript,4402
1237031497,Dockerfile,639
1243496690,JavaScript,4637382
1243496690,HTML,136735
1243496690,CSS,74931
1243496690,Python,71626
1243496690,Batchfile,5107
1243496690,Shell,385
1243496690,Dockerfile,344
1229729956,Python,64045
1229729956,Shell,42736
1232669890,Python,730339
1232669890,HTML,168240
1232669890,Shell,5773
1225774688,TypeScript,1384970
1225774688,JavaScript,7472
1225774688,Shell,990
1231135337,TypeScript,10367549
1231135337,Python,7737307
1231135337,JavaScript,11044
1231135337,Shell,5791
1227102698,TypeScript,2761968
1227102698,Zig,195159
1227102698,JavaScript,57030
1227102698,CSS,19653
1227102698,Rust,16323
1227102698,Shell,8211
1227102698,HTML,7102
1244095591,Shell,1360
1226123343,Python,27239
1234550622,JavaScript,344593
1234550622,CSS,114373
1234550622,HTML,367
1230925393,Python,39279
1229531271,HTML,1612631
1229531271,JavaScript,353600
1228312499,Jupyter Notebook,123072
1228312499,Python,15698
1238391754,Python,128481
1231170332,Python,8664140
1231170332,JavaScript,577461
1231170332,CSS,284994
1231170332,PowerShell,34399
1231170332,Shell,25193
1231170332,Jinja,14440
1231170332,HTML,6398
1231170332,Dockerfile,3755
1231170332,Ruby,2439
1246399437,TypeScript,4201807
1246399437,JavaScript,1380852
1246399437,Python,230776
1246399437,HTML,72170
1246399437,Shell,69029
1246399437,CSS,60943
1246399437,Dockerfile,3372
1228306162,JavaScript,21665
1228306162,PowerShell,10753
1228306162,Shell,10204
1245402600,Python,151058
1245402600,JavaScript,15953
1245402600,CSS,10737
1245402600,HTML,8827
1245402600,Batchfile,152
1241257629,HTML,74152
1226379024,TypeScript,4814
1229284184,Python,120640
1229284184,Shell,6656
1246625636,JavaScript,7748259
1246625636,Shell,108296
1246625636,TypeScript,491
1225178950,Python,29310
1225178950,PowerShell,15682
1225178950,JavaScript,13197
1225178950,Shell,8916
1231291764,TypeScript,2315738
1231291764,CSS,185963
1231291764,HTML,23753
1231291764,JavaScript,18335
1231291764,Shell,2175
1231291764,Dockerfile,435
1242107382,JavaScript,1184208
1242107382,MAXScript,301804
1242107382,TypeScript,146286
1242107382,Python,13821
1242107382,PowerShell,4423
1242107382,Shell,3366
1226182842,Python,146377
1226182842,HTML,53617
1226182842,Shell,5630
1234746825,Python,1069023
1234746825,HTML,59911
1234746825,Shell,140
1241325722,Python,389900
1241325722,PowerShell,6765
1241325722,Shell,4711
1246459259,TypeScript,6912780
1246459259,JavaScript,146944
1246459259,Nix,10599
1246459259,CSS,7022
1246459259,Shell,5228
1246459259,HTML,1445
1246459259,Makefile,693
1225834084,C#,896177
1225834084,Shell,300624
1235122687,C,1814821
1235122687,C++,95220
1235122687,Shell,19600
