full_name,stars,forks,age_days,stars_per_day,primary_language,license,desc_len,score,tier,reasons
kajisho5/ffmpeg-skill,1392,105,20,69.6,Python,MIT,0,6,低資訊密度,"desc:empty, high-attention-no-desc, generic-name:ffmpeg-skill, topics:none"
azerioid/azerioid-stack-manager,580,3,22,26.4,PHP,,0,6,低資訊密度,"desc:empty, license:none, low-forks:0.005, topics:none"
Faizpi/bank-sampah,509,1,12,42.4,PHP,,0,6,低資訊密度,"desc:empty, license:none, low-forks:0.002, topics:none"
HEJustinSun/my-girlfriend-jingtian-latex,4206,632,27,155.8,TeX,,0,6,低資訊密度,"desc:empty, license:none, high-attention-no-desc, topics:none"
Mantitup-Org/vista,2385,48,19,125.5,TypeScript,NOASSERTION,0,6,低資訊密度,"desc:empty, license:none, high-attention-no-desc, topics:none"
cheng-haha/GPT-Policy,270,4,13,20.8,Python,NOASSERTION,0,5,低資訊密度,"desc:empty, license:none, generic-name:GPT-Policy, topics:none"
inclusionAI/Choruz,821,9,21,39.1,Rust,Apache-2.0,0,5,低資訊密度,"desc:empty, low-forks:0.011, topics:none"
vinnylarouge/jevlike,1279,113,7,182.7,Python,MIT,0,5,低資訊密度,"desc:empty, high-attention-no-desc, topics:none"
capncodes69/myfreebuff,510,3,19,26.8,PowerShell,MIT,0,5,低資訊密度,"desc:empty, low-forks:0.006, topics:none"
Edge0-AI/Edge0,2064,183,15,137.6,Python,Apache-2.0,0,5,低資訊密度,"desc:empty, high-attention-no-desc, topics:none"
anthropics/fermats-last-theorem,1223,106,19,64.4,Lean,Apache-2.0,0,5,低資訊密度,"desc:empty, high-attention-no-desc, topics:none"
Taichu-AI/ZDTaichu5.0-9B,1767,346,19,93.0,Python,Apache-2.0,0,5,低資訊密度,"desc:empty, high-attention-no-desc, topics:none"
kvmem/kvmem-llama.cpp,570,51,9,63.3,C++,,0,4,待檢視,"desc:empty, license:none, topics:none"
NxcoreAI/NxMem,994,107,13,76.5,TypeScript,NOASSERTION,0,4,待檢視,"desc:empty, license:none, topics:none"
peggykangkang02/xialingguo-ip,183,34,13,14.1,Unknown,,0,4,待檢視,"desc:empty, license:none, topics:none"
raw13g/raw13g.github.io,149,174,4,37.2,JavaScript,,0,4,待檢視,"desc:empty, license:none, topics:none"
